지자체,관리청,해수욕장명,길이(m),너비(m),백사장면적(m2)
 강원도 , 삼척시 , 장호 , 300 , 40 ," 12,000 "
 강원도 , 삼척시 , 증산  , 200 , 40 ," 8,000 "
강원도,삼척시,하맹방, 400 , 50 ," 20,000 "
 강원도 , 삼척시 , 한재밑 , 400 , 40 ," 16,000 "
강원도,속초시,등대, 550 , 22 ," 11,957 "
강원도,속초시,속초, 940 , 43 ," 40,129 "
강원도,속초시,외옹치, 205 , 53 ," 10,842 "
강원도,양양군,갯마을, 310 , 30 ," 9,300 "
강원도,양양군,광진, 573 , 45 ," 25,785 "
강원도,양양군,기사문, 148 , 100 ," 14,800 "
강원도,양양군,낙산," 1,833 ", 76 ," 139,308 "
강원도,양양군,남애1, 396 , 30 ," 11,880 "
강원도,양양군,남애3, 504 , 77 ," 38,808 "
강원도,양양군,동산, 374 , 30 ," 11,220 "
강원도,양양군,동산포, 290 , 50 ," 14,500 "
강원도,양양군,동호, 406 , 40 ," 16,240 "
강원도,양양군,물치, 237 , 70 ," 16,590 "
강원도,양양군,북분, 351 , 50 ," 17,550 "
강원도,양양군,설악, 447 , 76 ," 33,972 "
강원도,양양군,송전, 537 , 60 ," 32,220 "
강원도,양양군,원포, 288 , 50 ," 14,400 "
강원도,양양군,인구, 262 , 68 ," 17,816 "
강원도,양양군,잔교, 317 , 30 ," 9,510 "
강원도,양양군,정암, 360 , 40 ," 14,400 "
강원도,양양군,죽도, 411 , 20 ," 8,220 "
강원도,양양군,중광정, 310 , 40 ," 12,400 "
 강원도 , 양양군 , 지  경 , 506 , 50 ," 25,300 "
강원도,양양군,하조대, 540 , 70 ," 37,800 "
경상남도,거제시,구영, 178 , 22 ," 3,916 "
경상남도,거제시,구조라, 851 , 25 ," 21,275 "
경상남도,거제시,농소, 806 , 44 ," 35,464 "
경상남도,거제시,덕원, 277 , 27 ," 7,479 "
경상남도,거제시,덕포, 446 , 22 ," 9,812 "
경상남도,거제시,망치, 493 , 18 ," 8,874 "
경상남도,거제시,명사, 301 , 34 ," 10,234 "
경상남도,거제시,물안, 164 , 30 ," 4,920 "
경상남도,거제시,사곡, 221 , 58 ," 12,818 "
경상남도,거제시,여차, 163 , 34 ," 5,542 "
