,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,지자체,해수욕장명,백사장면적(m2),camp_num,beach_code,latitude,longitude,obs_wtemp,obs_wave,obs_air,wtemp,wave,atemp,wind,toilet,shower
115,115,115,115,경상남도,송정솔바람해변," 30,250 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
116,116,116,116,경상남도,남일대," 16,625 ",0,BCH190,34.926,128.096,TW_0074,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
117,117,117,117,경상남도,광암," 6,600 ",0,BCH173,35.101,128.497,TW_0085,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
118,118,118,118,경상남도,비진도," 6,340 ",0,BCH188,34.72,128.459,TW_0084,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
119,119,119,119,경상남도,사량도 대항," 1,540 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
120,120,120,120,경상남도,수륙," 2,990 ",0,BCH348,34.819,128.439,TW_0084,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
121,121,121,121,경상북도,관성," 36,348 ",0,BCH043,35.659,129.451,HB_0002,TW_0092,HB_0002,0.0,0.0,0.0,0.0,0,0
122,122,122,122,경상북도,나정," 19,916 ",1,BCH069,35.782,129.491,HB_0002,TW_0092,HB_0002,0.0,0.0,0.0,0.0,0,0
123,123,123,123,경상북도,봉길대왕암," 18,830 ",0,BCH171,35.739,129.483,HB_0002,TW_0092,HB_0002,0.0,0.0,0.0,0.0,0,0
124,124,124,124,경상북도,오류," 29,106 ",1,BCH070,35.821,129.509,HB_0002,TW_0092,HB_0002,0.0,0.0,0.0,0.0,0,0
125,125,125,125,경상북도,전촌," 36,192 ",0,BCH170,35.786,129.491,HB_0002,TW_0092,HB_0002,0.0,0.0,0.0,0.0,0,0
126,126,126,126,경상북도,경정," 6,300 ",0,BCH168,36.482,129.433,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
127,127,127,127,경상북도,고래불," 244,000 ",0,BCH048,36.598,129.41,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
128,128,128,128,경상북도,남호," 7,000 ",0,BCH165,36.327,129.38,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
129,129,129,129,경상북도,대진," 51,100 ",1,BCH086,38.504,128.424,TW_0093,TW_0093,TW_0093,0.0,0.0,0.0,0.0,1,1
130,130,130,130,경상북도,오보," 5,000 ",0,BCH167,36.44,129.432,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
131,131,131,131,경상북도,장사," 19,200 ",3,BCH047,36.281,129.376,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
132,132,132,132,경상북도,하저," 10,450 ",0,BCH166,36.389,129.407,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
133,133,133,133,경상북도,구산," 23,400 ",0,BCH163,36.753,129.468,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
134,134,134,134,경상북도,기성망양," 38,760 ",1,BCH073,36.842,129.435,HB_0007,TW_0095,HB_0008,0.0,0.0,0.0,0.0,0,0
135,135,135,135,경상북도,나곡," 9,000 ",0,BCH158,37.126,129.371,HB_0009,DT_0039,HB_0008,0.0,0.0,0.0,0.0,0,0
136,136,136,136,경상북도,망양정," 27,405 ",0,BCH161,36.969,129.412,HB_0007,DT_0039,HB_0008,0.0,0.0,0.0,0.0,0,0
137,137,137,137,경상북도,봉평," 7,850 ",0,BCH160,37.043,129.413,HB_0007,DT_0039,HB_0008,0.0,0.0,0.0,0.0,0,0
138,138,138,138,경상북도,후정," 12,110 ",1,BCH159,37.074,129.41,HB_0008,DT_0039,HB_0008,0.0,0.0,0.0,0.0,0,0
139,139,139,139,경상북도,후포," 15,075 ",0,BCH162,36.675,129.442,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
140,140,140,140,경상북도,구룡포," 20,000 ",0,BCH071,35.997,129.566,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
141,141,141,141,경상북도,도구," 31,200 ",0,BCH169,35.992,129.442,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
142,142,142,142,경상북도,영일대," 383,250 ",0,BCH044,36.055,129.378,TW_0095,TW_0095,TW_0095,0.0,0.0,0.0,0.0,0,0
